List of importing markets for a product exported by Viet Nam Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
India	45,365	52,030	32,273	78,615	97,756	137,837	179,657	388,993	419,577	991,630	1,553,921	1,782,178	
Indonesia	264,300	331,967	467,224	452,861	468,848	957,926	1,153,201	751,209	754,054	1,433,419	2,358,900	2,357,706	
Iran (Islamic Republic of)	9,555	10,383	14,056	19,753	82,594	16,424	30,255	79,032	27,513	44,277	0	0	
Iraq	405,473	439,881	151,260	184,512	101,001	117,534	14,830	124,285	90,185	188,349	149,574	0	
Ireland	20,787	19,156	17,121	28,272	25,142	38,107	54,908	54,253	39,546	46,105	63,674	80,976	
Israel	18,062	19,460	19,938	32,177	31,586	44,187	58,093	82,697	76,937	97,478	170,750	279,274	
Italy	237,899	264,641	330,941	369,873	470,054	653,343	816,849	1,002,761	804,629	980,141	1,534,326	1,876,556	
Jamaica	69	152	322	233	676	572	1,173	2,019	0	3,749	5,567	0	
Japan	2,509,800	2,436,958	2,908,600	3,542,130	4,340,272	5,240,087	6,089,978	8,467,750	6,335,602	7,727,660	11,091,713	13,064,524	
Jordan	4,486	1,013	3,722	13,092	10,693	16,822	19,322	33,887	48,496	38,565	38,892	42,191	
Kazakhstan	66	102	591	796	1,466	1,925	5,355	14,006	13,972	15,476	36,257	72,169	
Kenya	4,043	3,004	5,903	21,652	24,607	29,091	9,705	37,449	41,589	42,616	62,356	64,011	
Kiribati	7	31	0	213	124	67	0	0	3,436	3,133	0	0	
Korea, Democratic People's Republic of	4,920	3,853	0	0	1,425	0	6,311	0	0	0	0	0	
Korea, Republic of	406,082	468,716	492,125	608,109	663,620	842,893	1,243,353	1,793,525	2,077,777	3,092,225	4,866,729	5,580,893	
Kuwait	2,653	2,611	6,917	3,651	11,808	11,080	19,300	61,492	40,905	29,909	28,915	29,202	
Kyrgyzstan	0	52	68	5	40	42	345	1,636	0	0	0	0	
Lao People's Democratic Republic	64,345	64,683	51,777	68,426	69,204	94,958	109,682	160,342	172,209	199,987	286,571	432,584	
Latvia	1,560	1,083	3,332	3,491	3,677	5,085	8,933	11,697	10,248	10,003	40,637	72,514	
Lebanon	3,058	3,925	4,473	6,518	8,235	17,776	16,370	24,333	36,215	35,090	46,205	53,893	
Lesotho	0	160	0	0	100	0	0	0	0	0	0	15,744	
Liberia	983	547	230	1,018	21,238	1,225	1,849	38,879	3,159	35,737	57,032	17,678	
Libya	93	231	625	6,109	1,697	570	2,350	4,326	5,399	8,111	0	27,203	
Lithuania	733	5,447	4,283	7,265	16,342	14,099	17,443	29,901	37,749	24,231	22,598	36,881	
Luxembourg	140	322	22	108	135	590	486	0	17,262	22,557	27,171	29,074	
Macao, China	556	475	878	2,418	1,744	7,034	3,247	11,579	0	0	0	3,375	
Macedonia, The Former Yugoslav Republic of	332	1,192	659	367	81	115	631	0	0	1,008	0	0	
Madagascar	2,653	420	936	2,141	3,579	3,013	9,354	9,847	5,207	4,533	0	0	
Malawi	26	182	75	646	357	272	0	0	0	0	0	0	
Malaysia	337,224	347,751	453,839	624,320	1,028,333	1,216,590	1,554,974	2,030,402	1,775,157	2,093,118	2,770,808	4,500,284	
Maldives	7	3	47	270	397	729	502	0	0	0	0	0	
Mali	2,267	1,470	1,706	1,266	1,538	2,880	6,819	3,593	0	5,760	5,542	8,845	
