List of importing markets for a product exported by Peru Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
Iran (Islamic Republic of)	15,657	24,753	13,780	8,073	4,445	1,616	2,055	2,103	1,429	849	846	157	
Iraq	0	3	0	0	9	0	0	1	18	0	37	17	
Ireland	1,369	1,568	2,066	2,837	3,222	6,167	4,348	6,581	4,054	6,121	8,844	9,390	
Israel	4,298	3,962	4,652	5,069	6,563	4,470	6,489	4,269	6,564	11,411	12,848	14,001	
Italy	139,428	174,619	188,297	288,277	389,028	777,873	819,910	927,194	607,517	939,074	1,297,103	1,021,234	
Jamaica	3,817	1,051	895	2,613	3,571	3,234	3,437	4,799	3,130	2,846	4,429	5,778	
Japan	383,004	374,296	391,170	554,160	604,498	1,230,787	2,180,551	1,860,025	1,376,462	1,790,533	2,174,639	2,575,332	
Jordan	987	1,372	691	733	1,123	948	361	1,575	1,150	962	1,651	1,518	
Kazakhstan	9	2	6	13	0	42	60	35	46	44	152	138	
Kenya	346	924	1,460	2,034	39	0	0	59	0	401	141	1	
Kiribati	162	18	17	0	0	0	48	0	0	0	0	321	
Korea, Democratic People's Republic of	10,358	3,659	1,359	2,908	959	22,974	15,160	179,142	3,183	7,867	30,269	562	
Korea, Republic of	110,586	168,082	176,344	202,960	227,431	548,481	887,905	552,016	749,589	895,922	1,694,940	1,545,352	
Kuwait	546	312	665	901	718	930	1,112	729	1,464	1,323	1,059	1,007	
Kyrgyzstan	0	0	0	2,505	1,012	484	227	0	0	0	44	0	
Lao People's Democratic Republic	19	1	35	1	15	7	0	28	70	12	0	0	
Latvia	719	172	3,387	39	358	168	138	312	191	71	443	5,447	
Lebanon	1,169	1,069	1,402	1,118	724	1,458	2,154	1,688	2,192	2,081	3,904	3,174	
Lesotho	0	0	0	0	0	0	0	0	0	0	0	0	
Liberia	34	0	80	399	474	875	1,912	1,420	1,169	1,450	1,840	1,915	
Libya	0	0	17	186	361	226	1,189	2,027	563	1,365	1,398	5,108	
Lithuania	25,397	18,490	7,028	11,819	6,967	1,754	2,170	3,057	1,697	2,693	7,331	5,232	
Luxembourg	92	127	21	50	18	27	42	68	21	30	97	21	
Macao, China	4	41	430	12	23	2	0	251	166	128	6	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	27	0	0	0	170	3	0	
