List of importing markets for a product exported by Cambodia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
Turkey	182	154	143	1,395	1,715	3,322	5,117	7,441	3,955	4,254	8,711	10,997	
Turkmenistan	0	44	0	0	0	12	0	0	0	0	42	115	
Turks and Caicos Islands	0	0	0	0	0	0	6	0	0	0	0	0	
Tuvalu	0	0	0	0	0	0	0	0	0	0	0	0	
Uganda	0	0	0	8	0	0	0	30	2	0	166	2	
Ukraine	16	52	68	339	337	1,740	1,225	4,521	4,701	5,860	3,164	2,401	
United Arab Emirates	202	1,977	484	1,589	1,629	2,222	3,438	5,693	6,023	9,284	21,211	28,487	
United Kingdom	126,562	132,923	143,821	175,240	124,238	153,243	147,585	155,918	180,022	235,466	391,142	528,030	
United States Minor Outlying Islands	2	0	0	0	0	0	2	0	0	85	49	113	
United States of America	833,853	961,813	1,128,563	1,311,580	1,597,763	1,901,504	1,883,474	1,970,288	1,555,059	1,905,612	2,107,192	2,032,784	
Uruguay	4	3	1	1	39	111	245	476	708	1,118	2,420	2,107	
Uzbekistan	0	0	0	1	0	0	0	0	0	0	12	0	
Vanuatu	0	7	0	49	0	0	0	0	0	0	0	46	
Venezuela	29	12	0	28	24	50	265	277	671	194	304	616	
Viet Nam	21,173	32,452	39,355	42,409	46,115	75,138	79,426	170,790	115,447	96,146	148,825	116,296	
Wallis and Futuna Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Western Sahara	0	0	0	0	0	0	0	0	129	114	0	37	
Yemen	0	0	0	0	1	3	5	4	0	0	0	2	
Zambia	0	0	0	4	0	1	0	0	0	0	0	0	
Zimbabwe	0	0	2	0	0	203	10	0	0	4,896	0	0	
