List of importing markets for a product exported by Sri Lanka Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
Saudi Arabia	31,056	30,281	29,959	30,759	37,931	28,486	51,346	53,485	40,093	43,895	62,805	61,587	
Senegal	150	147	319	306	246	518	629	301	168	452	1,352	618	
Serbia	0	0	0	0	0	0	0	1,124	510	247	0	0	
Seychelles	395	163	115	184	936	2,171	2,996	2,403	1,427	1,123	826	1,806	
Ship stores and bunkers	0	0	0	0	84	0	393	0	0	0	0	0	
Sierra Leone	139	119	153	260	368	319	457	312	641	673	1,223	1,654	
Singapore	57,113	72,198	59,960	82,444	71,375	73,652	80,441	76,919	87,636	186,345	406,427	103,182	
Slovakia	17	58	345	266	156	1,785	7,588	13,440	19,758	18,967	29,431	18,500	
Slovenia	213	249	677	505	532	844	776	1,417	1,305	1,821	2,842	2,214	
Solomon Islands	0	2	24	0	0	15	26	0	565	45	104	4	
Somalia	0	49	40	0	1	8	0	0	78	9	1,414	19	
South Africa	10,142	10,581	12,908	11,809	11,523	15,695	18,095	16,182	15,612	20,859	29,611	25,970	
Spain	34,801	27,231	29,713	38,696	52,241	54,410	62,752	65,978	43,823	52,351	68,664	60,900	
St. Pierre and Miquelon	0	0	0	0	0	0	0	203	0	0	0	0	
Sudan (North + South)	33	39	151	286	418	129	235	2,062	775	1,133	6,367	6,031	
Suriname	129	104	76	126	69	131	53	220	123	94	144	400	
Swaziland	0	159	17	0	3	32	175	372	202	275	735	1,984	
Sweden	16,699	18,299	19,793	24,286	26,343	36,632	57,452	60,335	38,991	58,402	78,626	61,696	
Switzerland	27,442	24,949	17,531	31,083	37,086	52,654	52,433	72,927	52,300	67,471	87,895	93,983	
Syrian Arab Republic	55,669	64,993	62,540	65,723	67,193	82,526	90,032	112,223	131,924	119,640	129,174	106,681	
Taipei, Chinese	12,367	11,977	11,677	12,071	11,800	17,150	14,750	17,435	21,087	36,374	22,665	26,752	
Tajikistan	25	0	78	52	84	126	157	451	460	467	410	300	
Tanzania, United Republic of	191	590	726	1,659	1,748	2,388	4,103	6,279	4,933	7,596	20,421	15,915	
Thailand	36,873	14,148	11,135	18,498	26,572	37,429	46,755	77,648	62,789	84,049	75,670	70,371	
Timor-Leste	38	0	0	7	0	8	0	4	17	28	13	25	
Togo	498	210	365	250	448	605	1,082	1,299	1,420	1,347	1,203	623	
Tokelau	0	44	0	0	0	6	0	1	0	2	47	84	
Tonga	0	9	34	8	0	0	36	0	0	0	4	3	
Trinidad and Tobago	881	522	379	854	235	1,268	990	1,638	1,265	1,149	1,460	1,694	
Tunisia	11,013	10,431	7,248	8,974	10,828	14,755	10,396	11,262	8,108	3,012	8,276	2,307	
Turkey	46,183	47,635	55,605	75,572	56,030	52,504	74,084	116,446	112,444	163,500	150,891	139,771	
Turkmenistan	61	152	158	168	244	311	374	615	421	823	1,169	892	
Turks and Caicos Islands	0	11	0	0	3	0	0	42	0	0	17	17	
Tuvalu	0	0	0	0	0	0	0	0	0	0	20	0	
Uganda	39	143	498	72	104	6	23	464	1,062	2,832	2,784	779	
Ukraine	28,676	24,144	25,940	26,697	25,161	29,917	35,047	58,992	41,950	56,040	67,996	57,607	
United Arab Emirates	145,365	119,406	106,731	117,227	144,798	172,587	209,872	255,488	211,388	246,587	297,001	226,204	
United Kingdom	576,271	589,872	638,234	774,254	774,838	878,867	1,017,161	1,090,109	1,024,061	1,021,905	1,110,297	1,061,572	
United States Minor Outlying Islands	51	66	164	110	36	522	39	355	56	860	1,591	752	
United States of America	1,925,671	1,763,005	1,774,314	1,860,590	1,983,231	2,002,371	1,977,976	1,886,241	1,589,753	1,767,685	2,143,901	2,116,798	
Uruguay	828	398	559	625	507	531	579	943	842	1,653	3,113	2,552	
Uzbekistan	2,591	3,062	2,725	3,304	3,138	1,431	2,535	4,582	4,851	6,810	7,108	9,469	
Vanuatu	0	0	0	1	16	9	0	0	13	28	2	21	
Venezuela	499	174	64	266	368	146	4,462	1,869	615	19,860	18,609	2,028	
Viet Nam	7,385	9,294	8,367	5,698	7,704	3,689	13,256	15,687	10,621	20,957	19,885	21,916	
Wallis and Futuna Islands	0	0	0	0	0	0	0	0	0	0	3	9	
Western Sahara	0	17	10	0	0	0	0	0	0	0	0	0	
Yemen	823	633	1,196	993	603	659	812	811	917	983	1,286	2,751	
Zambia	102	64	834	112	200	156	58	146	21	119	85	131	
Zimbabwe	68	99	91	118	130	292	2	108	75	262	368	367	
