List of importing markets for a product exported by Pakistan Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Madagascar	19,375	16,499	28,144	23,997	68,301	37,742	35,997	58,626	84,813	68,904	112,267	
Malawi	1,521	951	1,760	1,783	1,918	1,256	1,365	1,939	1,973	1,868	1,956	
Malaysia	93,960	65,814	66,614	60,971	81,334	138,068	158,256	145,585	243,054	233,479	204,464	
Maldives	2,573	1,948	2,932	2,987	4,014	6,359	3,572	3,954	5,477	5,719	8,450	
Mali	1,070	95	70	140	31	73	25	102	60	80	38	
Malta	3,229	3,183	2,018	2,874	1,969	1,745	1,618	1,436	2,441	2,604	4,525	
Marshall Islands	0	0	40	100	8	0	0	0	1	0	0	
Mauritania	3,145	2,001	3,691	3,031	1,027	1,490	2,238	2,534	7,198	20,580	33,526	
Mauritius	33,564	35,496	34,118	34,416	35,543	40,163	26,505	34,165	33,986	23,587	28,292	
Mayotte	0	0	0	0	0	34	0	105	22	95	99	
Mexico	54,331	55,562	56,526	64,761	66,508	80,026	64,692	85,556	110,572	111,957	122,456	
Micronesia (Federated States of)	0	0	0	5	33	6	1	6	12	0	7	
Mongolia	72	132	97	57	3	915	21	78	183	115	280	
Montenegro	0	0	0	0	0	0	0	0	0	0	0	
Montserrat	0	102	0	2	1	0	6	0	6	0	0	
Morocco	15,629	15,383	13,540	11,027	11,784	127,366	11,252	14,448	32,554	20,605	18,738	
Mozambique	12,991	18,780	43,357	46,702	43,457	49,198	57,979	94,056	79,962	74,332	117,858	
Myanmar	5,343	2,447	2,249	2,021	4,976	6,274	8,187	10,844	9,309	13,481	12,838	
Namibia	145	90	196	445	1,113	994	1,492	937	1,137	977	1,279	
Nauru	34	117	356	272	69	0	0	0	0	0	10	
Nepal	4,806	3,037	3,605	2,425	806	751	1,032	721	1,275	1,284	613	
Netherland Antilles	0	101	506	4,753	318	120	38	0	0	23	0	
Netherlands	316,857	367,698	378,297	433,856	452,951	560,132	393,364	408,084	535,413	449,170	627,521	
New Caledonia	157	177	143	176	104	67	136	30	50	58	78	
